id,personality_type,traits,suggested_careers
96,ESTP,"Energetic, pragmatic, bold","Sales Manager, Sports Trainer"
97,ISFJ,"Supportive, responsible, kind","Teacher, Social Worker"
98,ENTJ,"Assertive, confident, organized","CEO, Manager"
99,INFP,"Creative, empathetic, thoughtful","Author, Social Advocate"
100,ESTJ,"Assertive, responsible, practical","Business Administrator, Leader"
101,ISTP,"Curious, resourceful, practical","Engineer, Technician"
102,ESFP,"Fun-loving, expressive, outgoing","Musician, Actor"
103,ENFJ,"Charismatic, inspiring, encouraging","Educator, Coach"
104,ISFP,"Gentle, creative, flexible","Designer, Photographer"
105,INTP,"Analytical, curious, detached","Scientist, Mathematician"
106,INTJ,"Visionary, confident, strategic","Data Analyst, Scientist"
107,ENFP,"Optimistic, lively, outgoing","Marketer, Creative Writer"
108,ISTJ,"Structured, dependable, serious","Accountant, Government Officer"
109,ENTP,"Energetic, adaptable, bold","Consultant, Innovator"
110,INFJ,"Insightful, thoughtful, idealistic","Psychologist, Author"
111,ESTP,"Practical, adventurous, confident","Pilot, Firefighter"
112,ISFJ,"Loyal, caring, practical","Healthcare Worker, Librarian"
113,ENTJ,"Organized, ambitious, strong","Business Manager, Lawyer"
114,INFP,"Gentle, sensitive, creative","Writer, Social Worker"
115,ESTJ,"Assertive, reliable, disciplined","Banker, Judge"
116,ISTP,"Inventive, analytical, logical","Technician, Engineer"
117,ESFP,"Playful, charming, expressive","Actor, Event Host"
118,ENFJ,"Supportive, empathetic, confident","Counselor, Teacher"
119,ISFP,"Gentle, artistic, kind","Musician, Artist"
120,INTP,"Innovative, curious, analytical","Researcher, Philosopher"
121,INTJ,"Strategic, focused, logical","Engineer, Scientist"
122,ENFP,"Creative, adaptive, lively","Marketer, Journalist"
123,ISTJ,"Organized, consistent, loyal","Auditor, Banker"
124,ENTP,"Quick-witted, flexible, bold","Entrepreneur, Consultant"
125,INFJ,"Compassionate, reflective, principled","Therapist, Writer"
126,ESTP,"Adventurous, realistic, energetic","Paramedic, Sports Trainer"
127,ISFJ,"Helpful, supportive, humble","Teacher, Nurse"
128,ENTJ,"Ambitious, visionary, decisive","CEO, Politician"
129,INFP,"Caring, idealistic, sensitive","Counselor, Writer"
130,ESTJ,"Traditional, firm, dependable","Manager, Banker"
131,ISTP,"Logical, adaptable, practical","Pilot, Technician"
132,ESFP,"Outgoing, lively, expressive","Actor, Performer"
133,ENFJ,"Inspiring, organized, passionate","Coach, Educator"
134,ISFP,"Creative, gentle, humble","Designer, Musician"
135,INTP,"Analytical, inventive, logical","Scientist, Engineer"
136,INTJ,"Visionary, logical, ambitious","Strategist, Scientist"
137,ENFP,"Social, curious, empathetic","Public Relations, Creative Writer"
138,ISTJ,"Precise, disciplined, practical","Government Officer, Auditor"
139,ENTP,"Innovative, bold, witty","Consultant, Journalist"
140,INFJ,"Intuitive, thoughtful, selfless","Author, Therapist"
141,ESTP,"Bold, practical, energetic","Emergency Worker, Pilot"
142,ISFJ,"Responsible, loyal, careful","Healthcare Worker, Caregiver"
143,ENTJ,"Efficient, confident, strong-willed","Manager, Executive"
144,INFP,"Dreamer, sensitive, idealistic","Poet, Writer"
145,ESTJ,"Structured, assertive, disciplined","Project Manager, Judge"
146,ISTP,"Independent, inventive, practical","Engineer, Mechanic"
147,ESFP,"Cheerful, spontaneous, fun-loving","Performer, Event Host"
148,ENFJ,"Supportive, persuasive, caring","Teacher, Counselor"
149,ISFP,"Gentle, creative, easygoing","Designer, Photographer"
150,INTP,"Logical, detached, deep-thinker","Philosopher, Data Analyst"
151,INTJ,"Strategic, rational, determined","Engineer, Data Scientist"
152,ENFP,"Friendly, outgoing, creative","Journalist, Campaign Manager"
153,ISTJ,"Traditional, disciplined, loyal","Civil Servant, Accountant"
154,ENTP,"Energetic, daring, visionary","Entrepreneur, Politician"
155,INFJ,"Compassionate, insightful, reflective","Writer, Psychologist"
156,ESTP,"Adventurous, bold, practical","Paramedic, Athlete"
157,ISFJ,"Supportive, loyal, dependable","Nurse, Teacher"
158,ENTJ,"Goal-oriented, confident, strong","CEO, Manager"
159,INFP,"Sensitive, empathetic, reflective","Author, Social Worker"
160,ESTJ,"Organized, assertive, honest","Business Leader, Judge"
161,ISTP,"Analytical, resourceful, practical","Pilot, Mechanic"
162,ESFP,"Expressive, playful, outgoing","Actor, Performer"
163,ENFJ,"Encouraging, charismatic, empathetic","Coach, HR Manager"
164,ISFP,"Gentle, artistic, flexible","Designer, Musician"
165,INTP,"Innovative, logical, reserved","Researcher, Scientist"
166,INTJ,"Critical, visionary, strategic","Economist, Data Analyst"
167,ENFP,"Social, empathetic, creative","Marketer, Travel Blogger"
168,ISTJ,"Loyal, structured, precise","Auditor, Civil Officer"
169,ENTP,"Witty, bold, enthusiastic","Consultant, Startup Advisor"
170,INFJ,"Intuitive, empathetic, thoughtful","Therapist, Writer"
171,ESTP,"Energetic, adventurous, confident","Pilot, Sports Trainer"
172,ISFJ,"Dedicated, practical, dependable","Teacher, Caregiver"
173,ENTJ,"Ambitious, decisive, bold","Executive, Lawyer"
174,INFP,"Compassionate, thoughtful, artistic","Poet, Social Worker"
175,ESTJ,"Firm, traditional, reliable","Manager, Judge"
176,ISTP,"Logical, curious, resourceful","Engineer, Technician"
177,ESFP,"Outgoing, expressive, lively","Performer, Event Planner"
178,ENFJ,"Supportive, confident, charismatic","Teacher, Facilitator"
179,ISFP,"Gentle, creative, artistic","Designer, Musician"
180,INTP,"Curious, logical, inventive","Researcher, Scientist"
181,INTJ,"Innovative, strategic, ambitious","Data Scientist, Policy Maker"
182,ENFP,"Friendly, adaptive, creative","Journalist, Campaigner"
183,ISTJ,"Organized, disciplined, thorough","Auditor, Government Officer"
184,ENTP,"Persuasive, quick-witted, bold","Entrepreneur, Consultant"
185,INFJ,"Compassionate, selfless, thoughtful","Therapist, Writer"
186,ESTP,"Confident, adventurous, bold","Sales Manager, Pilot"
187,ISFJ,"Supportive, loyal, dependable","Teacher, Caregiver"
188,ENTJ,"Assertive, decisive, goal-oriented","CEO, Politician"
189,INFP,"Gentle, creative, sensitive","Writer, Humanitarian"
190,ESTJ,"Organized, disciplined, strong","Manager, Judge"
191,ISTP,"Analytical, logical, hands-on","Engineer, Mechanic"
192,ESFP,"Lively, fun, expressive","Actor, Musician"
193,ENFJ,"Charismatic, inspiring, empathetic","Coach, HR Specialist"
194,ISFP,"Creative, gentle, flexible","Designer, Photographer"
195,INTP,"Logical, thoughtful, abstract","Scientist, Data Analyst"
196,INTJ,"Strategic, focused, analytical","Economist, Engineer"
197,ENFP,"Outgoing, charismatic, lively","Journalist, Marketer"
198,ENTP,"Energetic, visionary, adaptable","Public Speaker, Startup Advisor"
199,INFJ,"Insightful, supportive, focused","Spiritual Guide, Researcher"
200,ESTP,"Charismatic, bold, pragmatic","Marketing Specialist, Sports Coach"
